camera,status,num_composition,num_compostition_camera,last_time_check_on_camera,last_lat_on_camera,last_lon_on_camera,vendor
tv_ngpt_tram_vitaz_31314_6,+,31314,6,2023-01-07 12:12:56.818000,55.80254333333334,37.688433333333336,tv
tv_ngpt_tram_vitaz_31315_1,+,31315,1,2023-02-27 09:19:53.085000,55.79290833333333,37.78335666666667,tv
tv_ngpt_tram_vitaz_31315_2,+,31315,2,2023-02-27 09:19:54.058000,55.79290833333333,37.78335666666667,tv
tv_ngpt_tram_vitaz_31315_3,+,31315,3,2023-02-27 09:14:30.762000,55.79330166666667,37.80017833333333,tv
tv_ngpt_tram_vitaz_31315_4,+,31315,4,2023-02-26 07:22:24.952000,55.789278333333336,37.68089666666666,tv
tv_ngpt_tram_vitaz_31315_5,+,31315,5,2023-02-23 17:21:26.927000,55.75162166666667,37.71559,tv
tv_ngpt_tram_vitaz_31315_6,+,31315,6,2023-02-24 04:22:54.356000,55.791355,37.702205000000006,tv
tv_ngpt_tram_vitaz_31316_1,+,31316,1,2023-02-27 09:05:18.586000,55.75387333333333,37.72524833333333,tv
tv_ngpt_tram_vitaz_31316_2,+,31316,2,2023-02-27 08:42:07.183000,55.76399,37.68035166666667,tv
tv_ngpt_tram_vitaz_31316_3,+,31316,3,2023-02-27 08:56:28.819000,55.75155166666666,37.71612,tv
tv_ngpt_tram_vitaz_31316_4,+,31316,4,2023-02-27 08:52:59.389000,55.75446166666667,37.70797166666667,tv
tv_ngpt_tram_vitaz_31316_5,+,31316,5,2023-02-27 08:56:26.930000,55.75155166666666,37.71612,tv
tv_ngpt_tram_vitaz_31316_6,+,31316,6,2023-02-27 08:45:29.760000,55.76298833333333,37.68125333333333,tv
tv_ngpt_tram_vitaz_31317_1,+,31317,1,2023-02-27 09:28:35.816000,55.78980833333333,37.76975166666667,tv
tv_ngpt_tram_vitaz_31317_2,+,31317,2,2023-02-26 00:14:05.105000,55.7588,37.74838166666667,tv
tv_ngpt_tram_vitaz_31317_3,+,31317,3,2023-02-26 15:50:24.069000,55.81230166666666,37.733575,tv
tv_ngpt_tram_vitaz_31317_4,+,31317,4,2023-02-26 20:46:29.698000,55.79217833333334,37.70349833333333,tv
tv_ngpt_tram_vitaz_31317_5,+,31317,5,2023-02-27 08:37:02.434000,55.79413,37.70375166666667,tv
tv_ngpt_tram_vitaz_31317_6,+,31317,6,2023-02-27 08:38:43.937000,55.79393166666667,37.70317,tv
tv_ngpt_tram_vitaz_31318_1,+,31318,1,2023-02-27 03:55:20.780000,55.79213833333333,37.703645,tv
tv_ngpt_tram_vitaz_31318_2,+,31318,2,2023-02-27 01:08:25.067000,55.815176666666666,37.73267333333333,tv
tv_ngpt_tram_vitaz_31318_3,+,31318,3,2023-02-27 01:08:28.397000,55.815176666666666,37.73267333333333,tv
tv_ngpt_tram_vitaz_31318_4,+,31318,4,2023-02-27 03:38:33.611000,55.791978333333326,37.703375,tv
tv_ngpt_tram_vitaz_31318_5,+,31318,5,2023-02-27 03:40:47.935000,55.791978333333326,37.703375,tv
tv_ngpt_tram_vitaz_31318_6,+,31318,6,2023-02-27 00:24:12.884000,55.79713,37.714756666666666,tv
tv_ngpt_tram_vitaz_31319_1,+,31319,1,2023-02-27 09:26:20.645000,55.75908166666667,37.74843166666667,tv
tv_ngpt_tram_vitaz_31319_2,+,31319,2,2023-02-27 09:25:32.526000,55.75843499999999,37.75063333333333,tv
tv_ngpt_tram_vitaz_31319_3,+,31319,3,2023-02-27 09:27:23.150000,55.75921,37.746970000000005,tv
tv_ngpt_tram_vitaz_31319_4,+,31319,4,2023-02-27 09:27:17.655000,55.75936,37.74709166666666,tv
tv_ngpt_tram_vitaz_31319_5,+,31319,5,2023-02-27 09:26:22.728000,55.75908166666667,37.74843166666667,tv
tv_ngpt_tram_vitaz_31319_6,+,31319,6,2023-02-27 09:03:30.927000,55.758623333333325,37.752381666666665,tv
tv_ngpt_tram_vitaz_31320_1,+,31320,1,2023-02-27 09:25:36.231000,55.761183333333335,37.686463333333336,tv
tv_ngpt_tram_vitaz_31320_2,+,31320,2,2023-02-27 08:57:28.265000,55.75750500000001,37.698973333333335,tv
tv_ngpt_tram_vitaz_31320_3,+,31320,3,2023-02-27 08:54:38.292000,55.75324833333334,37.71158166666667,tv
tv_ngpt_tram_vitaz_31320_4,+,31320,4,2023-02-27 09:27:36.441000,55.761136666666665,37.68831166666666,tv
tv_ngpt_tram_vitaz_31320_5,+,31320,5,2023-02-27 08:57:43.381000,55.757670000000005,37.698528333333336,tv
tv_ngpt_tram_vitaz_31320_6,+,31320,6,2023-02-27 08:59:58.757000,55.75917666666666,37.69394,tv
tv_ngpt_tram_vitaz_31321_1,+,31321,1,2023-02-25 09:15:56.373000,55.79264666666666,37.70304333333333,tv
tv_ngpt_tram_vitaz_31321_2,+,31321,2,2023-02-21 10:38:08.083000,55.757893333333335,37.69722166666666,tv
tv_ngpt_tram_vitaz_31321_3,+,31321,3,2023-02-21 10:57:11.305000,55.753395,37.71604166666667,tv
tv_ngpt_tram_vitaz_31321_4,+,31321,4,2023-02-21 10:07:19.617000,55.77636833333333,37.65907333333334,tv
tv_ngpt_tram_vitaz_31321_5,+,31321,5,2023-02-21 10:19:49.343000,55.77276833333334,37.678556666666665,tv
tv_ngpt_tram_vitaz_31321_6,+,31321,6,2023-02-21 16:59:41.732000,55.79252,37.703788333333335,tv
tv_ngpt_tram_vitaz_31322_1,+,31322,1,2023-02-27 09:28:18.767000,55.78776833333333,37.60940166666667,tv
tv_ngpt_tram_vitaz_31322_2,+,31322,2,2023-02-27 09:24:51.043000,55.78271333333334,37.61087666666666,tv
tv_ngpt_tram_vitaz_31322_3,+,31322,3,2023-02-27 09:28:29.748000,55.78801833333333,37.60969333333333,tv
